path,total_lines,read_lines,read_confirmed_at
"apps/web/src/app/(dashboard)/workspace/page.tsx",292,292,"2025-08-31T03:19:33.435Z"
"apps/web/src/app/dashboard/performance/page.tsx",15,15,"2025-08-31T03:19:33.435Z"
"apps/web/src/app/globals.css",199,199,"2025-08-31T03:19:33.435Z"
"apps/web/src/app/layout.tsx",30,30,"2025-08-31T03:19:33.435Z"
"apps/web/src/app/providers.tsx",56,56,"2025-08-31T03:19:33.435Z"
"apps/web/src/components/analytics/PerformanceDashboard.tsx",692,692,"2025-08-31T03:19:33.435Z"
"apps/web/src/components/ErrorBoundary.tsx",115,115,"2025-08-31T03:19:33.435Z"
"apps/web/src/components/prompt-builder/VisualPromptBuilder.tsx",580,580,"2025-08-31T03:19:33.435Z"
"apps/web/src/hooks/useWebSocket.ts",141,141,"2025-08-31T03:19:33.435Z"
"apps/web/tsconfig.json",37,37,"2025-08-31T03:19:33.435Z"
"COVERAGE_LOG.csv",201,201,"2025-08-31T03:19:33.435Z"
"docker-compose.prod.yml",192,192,"2025-08-31T03:19:33.435Z"
"docker-compose.yml",34,34,"2025-08-31T03:19:33.435Z"
"ENTERPRISE_FEATURES_STATUS.md",239,239,"2025-08-31T03:19:33.435Z"
"FILE_MANIFEST.csv",201,201,"2025-08-31T03:19:33.435Z"
"FINAL_LAUNCH_GUIDE.md",189,189,"2025-08-31T03:19:33.435Z"
"FIXES_IMPLEMENTED.md",134,134,"2025-08-31T03:19:33.435Z"
"generate-manifest.ps1",0,0,""
"infrastructure/docker/docker-compose.yml",175,175,"2025-08-31T03:19:33.435Z"
"infrastructure/docker/prometheus.yml",25,25,"2025-08-31T03:19:33.435Z"
"infrastructure/scripts/setup-dev.sh",98,98,"2025-08-31T03:19:33.435Z"
"LAUNCH_INSTRUCTIONS.md",194,194,"2025-08-31T03:19:33.435Z"
"LAUNCH_NOW.bat",122,122,"2025-08-31T03:19:33.435Z"
"LAUNCH_NOW_INSTRUCTIONS.md",159,159,"2025-08-31T03:19:33.435Z"
"package.json",94,94,"2025-08-31T03:19:33.435Z"
"package-lock.json",32662,32662,"2025-08-31T03:19:33.435Z"
"packages/llm-client/package.json",36,36,"2025-08-31T03:19:33.435Z"
"packages/llm-client/src/index.ts",5,5,"2025-08-31T03:19:33.435Z"
"packages/llm-client/src/llm-client.module.ts",10,10,"2025-08-31T03:19:33.435Z"
"packages/llm-client/src/llm-client.service.ts",86,86,"2025-08-31T03:19:33.435Z"
"packages/llm-client/src/providers/BaseProvider.ts",250,250,"2025-08-31T03:19:33.435Z"
